Year,Name,Number,Rank
1926,KEITH,6,98
1926,NEIL,6,98
1926,NICK,6,98
1926,NOBORU,6,98
1926,SABURO,6,98
1926,TOSHIO,6,98
1926,WESLEY,6,98
1926,ANGUS,5,108
1926,ANTHONY,5,108
1926,ARCHIBALD,5,108
1926,BERTRAM,5,108
1926,BRIAN,5,108
1926,CHESTER,5,108
1926,CHRISTOPHER,5,108
1926,DUNCAN,5,108
1926,ELMER,5,108
1926,FRANKLIN,5,108
1926,GORDEN,5,108
1926,GRAHAM,5,108
1926,ISAO,5,108
1926,IVAN,5,108
1926,MURRAY,5,108
1926,PERCY,5,108
1926,RODNEY,5,108
1926,ROGER,5,108
1926,SHIGERU,5,108
1926,STEPHEN,5,108
1926,STUART,5,108
1926,THEODORE,5,108
1926,WARREN,5,108
1926,YASUO,5,108
1927,JOHN,338,1
1927,WILLIAM,245,2
1927,ROBERT,231,3
1927,JAMES,159,4
1927,GEORGE,146,5
1927,DONALD,102,6
1927,CHARLES,98,7
1927,GORDON,78,8
1927,EDWARD,74,9
1927,DAVID,67,10
1927,KENNETH,66,11
1927,THOMAS,60,12
1927,DOUGLAS,56,13
1927,RICHARD,56,13
1927,JOSEPH,55,15
1927,ROY,52,16
1927,RAYMOND,50,17
1927,RONALD,47,18
1927,STANLEY,47,18
1927,HAROLD,46,20
1927,NORMAN,46,20
1927,ALBERT,43,22
1927,ARTHUR,42,23
1927,FREDERICK,42,23
1927,JACK,42,23
1927,PETER,42,23
1927,ERNEST,41,27
1927,WALTER,40,28
1927,HENRY,36,29
1927,ALFRED,34,30
1927,ALEXANDER,31,31
1927,GERALD,30,32
1927,HARRY,30,32
1927,LESLIE,27,34
1927,ALLAN,26,35
1927,FRANK,26,35
1927,LEONARD,24,37
1927,RALPH,21,38
1927,CLIFFORD,20,39
1927,FRANCIS,20,39
1927,LAWRENCE,20,39
1927,HOWARD,19,42
1927,HERBERT,17,43
1927,VERNON,17,43
1927,CLARENCE,16,45
1927,HUGH,16,45
1927,BRUCE,14,47
1927,FRED,14,47
1927,LLOYD,14,47
1927,LORNE,14,47
1927,SAMUEL,14,47
1927,ALAN,13,52
1927,ANDREW,13,52
1927,EARL,13,52
1927,FREDRICK,13,52
1927,IAN,13,52
1927,WILFRED,13,52
1927,ELMER,12,58
1927,KIYOSHI,12,58
1927,VICTOR,12,58
1927,CECIL,11,61
1927,EDWIN,11,61
1927,ALLEN,10,63
1927,ARNOLD,10,63
1927,DANIEL,10,63
1927,LOUIS,10,63
1927,PAUL,10,63
1927,SHIGEO,10,63
1927,SIDNEY,10,63
1927,ERIC,9,70
1927,GLEN,9,70
1927,HIROSHI,9,70
1927,LAURENCE,9,70
1927,MAURICE,9,70
1927,REGINALD,9,70
1927,RUSSELL,9,70
1927,ALVIN,8,77
1927,BENJAMIN,8,77
1927,BERNARD,8,77
1927,GILBERT,8,77
1927,KAZUO,8,77
1927,MINORU,8,77
1927,PATRICK,8,77
1927,TAKESHI,8,77
1927,YOSHIO,8,77
1927,ALEX,7,86
1927,CARL,7,86
1927,CYRIL,7,86
1927,KEITH,7,86
1927,MALCOLM,7,86
1927,MELVIN,7,86
1927,MICHAEL,7,86
1927,MILTON,7,86
1927,PETE,7,86
1927,PHILIP,7,86
1927,TATSUO,7,86
1927,TOSHIO,7,86
1927,WALLACE,7,86
1927,AKIRA,6,99
1927,BRIAN,6,99
1927,DESMOND,6,99
1927,EUGENE,6,99
1927,GLENN,6,99
1927,GORDEN,6,99
1927,HUBERT,6,99
1927,ISAMU,6,99
1927,NEIL,6,99
1927,NICK,6,99
1927,SHIGERU,6,99
1927,STEPHEN,6,99
1927,SUSUMU,6,99
1927,SYDNEY,6,99
1927,ANTHONY,5,113
1927,CALVIN,5,113
1927,CLAYTON,5,113
1927,DENNIS,5,113
1927,HARVEY,5,113
1927,HIDEO,5,113
1927,MASAO,5,113
1927,NOBUO,5,113
1927,RODNEY,5,113
1927,ROSS,5,113
1927,STUART,5,113
1928,JOHN,293,1
1928,WILLIAM,252,2
1928,ROBERT,211,3
1928,JAMES,163,4
1928,GEORGE,135,5
1928,DONALD,108,6
1928,DAVID,77,7
1928,THOMAS,73,8
1928,KENNETH,72,9
1928,CHARLES,69,10
1928,GORDON,69,10
1928,EDWARD,67,12
1928,RONALD,66,13
1928,ARTHUR,59,14
1928,RAYMOND,56,15
1928,NORMAN,55,16
1928,STANLEY,54,17
1928,DOUGLAS,52,18
1928,FREDERICK,47,19
1928,RICHARD,47,19
1928,ROY,47,19
1928,PETER,45,22
1928,HARRY,43,23
1928,FRANK,41,24
1928,JACK,40,25
1928,WALTER,38,26
1928,JOSEPH,37,27
1928,ALBERT,35,28
1928,HAROLD,35,28
1928,ERNEST,33,30
1928,FRANCIS,32,31
